t encoder_esq(mm) encoder_dir IR1(mm) IR2 IR3 IR4 IR5 Ax(m/s^2) Ay Az Gx(rad/s) Gy Gz
435591 0 0 1556 1590 1285 1491 152 -0.328006 -0.126893 10.915165 0.027712 -0.058222 -0.018919
436591 0 0 1524 1590 1285 1491 155 -0.294487 -0.028730 10.941502 0.031576 -0.057822 -0.022516
437591 0 0 1625 1660 1285 1524 152 -0.332794 -0.071826 10.929530 0.027845 -0.055957 -0.020118
438591 0 0 1556 1590 1312 1524 155 -0.287304 -0.074220 10.972626 0.028245 -0.057689 -0.019985
439591 0 0 1590 1590 1285 1491 155 -0.304064 -0.098162 10.864887 0.031842 -0.061286 -0.017986
440591 0 0 1590 1590 1285 1491 157 -0.306458 -0.040701 10.922348 0.025047 -0.057423 -0.020384
441591 0 0 1556 1625 1285 1524 155 -0.256180 -0.033519 10.900800 0.026646 -0.056090 -0.022649
442591 0 0 1556 1625 1312 1524 155 -0.275333 -0.110133 10.915165 0.029577 -0.058222 -0.019319
443591 0 0 1556 1590 1285 1491 157 -0.344765 -0.009577 10.884041 0.026913 -0.058622 -0.018386
444591 0 0 1590 1590 1285 1524 157 -0.292093 -0.040701 10.888829 0.025847 -0.057822 -0.023848
445591 0 0 1590 1590 1258 1491 155 -0.296881 -0.026336 10.836157 0.026779 -0.059421 -0.020251
446591 0 0 1590 1590 1285 1491 152 -0.323217 -0.079009 10.910377 0.031176 -0.059954 -0.021983
447591 0 0 1625 1660 1285 1524 155 -0.268151 -0.047884 10.917560 0.029178 -0.058888 -0.018519
448591 0 0 1524 1556 1285 1491 155 -0.320823 -0.090980 10.896011 0.025847 -0.057023 -0.021583
449591 0 0 1590 1625 1285 1524 155 -0.181959 -0.052672 10.896011 0.028112 -0.060753 -0.018253
450591 0 0 1590 1625 1285 1491 155 -0.294487 -0.033519 10.852916 0.026247 -0.060087 -0.021450
451591 0 0 1556 1590 1285 1491 155 -0.330400 -0.059855 10.965444 0.026380 -0.056757 -0.020251
452591 0 0 1590 1625 1258 1491 157 -0.282516 -0.069432 10.879252 0.025181 -0.058755 -0.020251
453591 0 0 1556 1590 1312 1524 157 -0.296881 -0.052672 10.965444 0.026779 -0.058755 -0.020118
454591 0 0 1590 1590 1285 1524 155 -0.323217 -0.059855 10.905588 0.027046 -0.057556 -0.019585
455591 0 0 1590 1590 1285 1491 155 -0.337582 -0.043096 10.857704 0.030910 -0.059021 -0.018253
456591 0 0 1556 1590 1312 1524 152 -0.337582 -0.064643 10.764331 0.030377 -0.057956 -0.019718
457591 0 0 1524 1556 1285 1491 155 -0.277727 -0.090980 10.850522 0.028245 -0.056224 -0.020518
458591 0 0 1556 1625 1285 1524 155 -0.328006 -0.105345 10.910377 0.028112 -0.063418 -0.018652
459591 0 0 1590 1625 1285 1524 157 -0.328006 -0.069432 10.860099 0.030243 -0.059288 -0.021450
460591 0 0 1590 1590 1285 1524 157 -0.294487 -0.035913 10.884041 0.025847 -0.055158 -0.019452
461591 0 0 1524 1590 1285 1491 157 -0.318429 -0.045490 10.922348 0.029977 -0.060354 -0.020118
462591 0 0 1625 1660 1285 1524 157 -0.289698 -0.021548 10.891223 0.023449 -0.059021 -0.021850
463591 0 0 1491 1556 1258 1491 155 -0.330400 -0.122104 10.919953 0.028911 -0.058622 -0.018119
464591 0 0 1590 1590 1312 1524 157 -0.294487 -0.090980 10.884041 0.029178 -0.057423 -0.019851
465591 0 0 1590 1625 1312 1524 155 -0.325611 -0.009577 10.922348 0.026380 -0.057289 -0.018652
466591 0 0 1556 1590 1285 1491 155 -0.318429 -0.062249 10.821792 0.022516 -0.054891 -0.017587
467591 0 0 1590 1625 1285 1491 155 -0.308852 -0.059855 10.833762 0.028778 -0.060087 -0.019585
468591 0 0 1524 1556 1285 1491 155 -0.256180 -0.057461 10.797850 0.031709 -0.060753 -0.018786
469591 0 0 1590 1625 1285 1524 157 -0.316035 -0.064643 10.907983 0.026513 -0.056490 -0.018386
470591 0 0 1590 1590 1285 1491 157 -0.301669 0.004788 10.809820 0.029577 -0.058622 -0.018786
471591 0 0 1590 1625 1285 1524 157 -0.332794 -0.043096 10.771513 0.029577 -0.060087 -0.020651
472591 0 0 1524 1590 1285 1491 155 -0.287304 -0.026336 10.862493 0.028645 -0.060487 -0.017187
473591 0 0 1590 1590 1285 1524 155 -0.289698 -0.079009 10.843339 0.023582 -0.057556 -0.021583
474591 0 0 1590 1625 1285 1524 152 -0.282516 -0.011971 10.912771 0.030776 -0.059021 -0.018119
475591 0 0 1590 1625 1312 1524 155 -0.263362 -0.100556 10.941502 0.028245 -0.056623 -0.018919
476591 0 0 1556 1590 1312 1524 155 -0.323217 -0.098162 10.867281 0.025181 -0.057689 -0.020651
477591 0 0 1590 1590 1232 1491 155 -0.222661 0.083797 10.872069 0.022116 -0.053426 -0.019718
478591 0 0 1524 1590 1285 1491 155 -0.277727 -0.026336 10.850522 0.025447 -0.058888 -0.020251
479591 0 0 1590 1590 1312 1524 155 -0.296881 -0.205901 10.860099 0.024381 -0.055291 -0.021450
480591 0 0 1556 1590 1285 1524 157 -0.287304 -0.067038 10.821792 0.026646 -0.053825 -0.020251
481591 0 0 1556 1590 1285 1524 157 -0.316035 -0.007183 10.965444 0.025714 -0.054225 -0.018253
482591 0 0 1590 1590 1285 1491 157 -0.268151 -0.045490 10.912771 0.023582 -0.059288 -0.020118
